t,Ar,Ar+,e,T_e,T_n,p,P
0.0005801421896881232,1.6896786086099215e+21,2.1101250637015706e+18,2.1101250637015706e+18,0.9380602240391602,342.5,8.000000000000307,1500.0
0.0006560341617084213,1.6894275757448002e+21,2.361157928770421e+18,2.361157928770421e+18,0.9274632099709111,342.5,8.00000000000006,1500.0
0.0008124489733640869,1.6889750491940528e+21,2.813684479466903e+18,2.813684479466903e+18,0.9116493625249026,342.5,7.99999999999982,1500.0
0.0009688637850197526,1.6885960825666916e+21,3.1926511067860424e+18,3.1926511067860424e+18,0.9032081027715608,342.5,7.99999999999962,1500.0
0.0011252785966754182,1.6882802711820045e+21,3.508462491495789e+18,3.508462491495789e+18,0.8983101121360398,342.5,7.999999999999727,1500.0
0.0012816934083310838,1.688017991598064e+21,3.7707420754762604e+18,3.7707420754762604e+18,0.8945001627743553,342.5,7.9999999999999165,1500.0
0.0015573084134714436,1.6876587926151234e+21,4.129941058448161e+18,4.129941058448161e+18,0.8896578083348068,342.5,8.000000000000066,1500.0
0.0018329234186118034,1.6873972076520952e+21,4.3915260214508856e+18,4.3915260214508856e+18,0.8863914241750613,342.5,7.999999999999945,1500.0
0.002108538423752163,1.687204840206967e+21,4.5838934665721257e+18,4.5838934665721257e+18,0.8841614059192461,342.5,7.999999999999911,1500.0
0.002177442175037253,1.6871648142304509e+21,4.623919443091831e+18,4.623919443091831e+18,0.8836752997483369,342.5,7.999999999999928,1500.0
0.0021946681128585254,1.68715531426622e+21,4.633419407323189e+18,4.633419407323189e+18,0.8835631454937359,342.5,7.999999999999931,1500.0
0.0021989745973138436,1.6871529707136174e+21,4.635762959925436e+18,4.635762959925436e+18,0.8835371579580076,342.5,7.999999999999928,1500.0
0.0022000512184276733,1.6871530766767195e+21,4.635656996823473e+18,4.635656996823473e+18,0.8694691644563931,342.5,7.99999999999993,0.0
0.002200731887581881,1.687153661145604e+21,4.635072527939613e+18,4.635072527939613e+18,0.8538991858393592,342.5,7.9999999999999325,0.0
0.0022014125567360885,1.6871545661273992e+21,4.634167546143695e+18,4.634167546143695e+18,0.8385395947739277,342.5,7.999999999999928,0.0
0.002202093225890296,1.687155731328307e+21,4.633002345236196e+18,4.633002345236196e+18,0.8254297160347525,342.5,7.999999999999931,0.0
0.0022027738950445037,1.6871571073486912e+21,4.631626324851925e+18,4.631626324851925e+18,0.814477274702838,342.5,7.99999999999993,0.0
0.0022051106565276622,1.6871629561866352e+21,4.625777486907923e+18,4.625777486907923e+18,0.7852500622980559,342.5,7.99999999999993,0.0
0.002207447418010821,1.687169985414351e+21,4.618748259191968e+18,4.618748259191968e+18,0.7659473788429763,342.5,7.99999999999993,0.0
0.0022097841794939794,1.687177426516486e+21,4.611307157056905e+18,4.611307157056905e+18,0.7507993637657328,342.5,7.99999999999993,0.0
0.002212418454780435,1.6871859319858589e+21,4.602801687684578e+18,4.602801687684578e+18,0.7359088006933998,342.5,7.999999999999931,0.0
0.0022150527300668905,1.687194445607743e+21,4.5942880658007276e+18,4.5942880658007276e+18,0.7224318474542039,342.5,7.999999999999933,0.0
0.002217687005353346,1.6872029672877004e+21,4.585766385843078e+18,4.585766385843078e+18,0.7102723026084917,342.5,7.9999999999999325,0.0
0.0022203212806398017,1.6872115265761782e+21,4.5772070973652936e+18,4.5772070973652936e+18,0.6995160028838433,342.5,7.9999999999999325,0.0
0.002230159499229728,1.687243363707204e+21,4.545369966339515e+18,4.545369966339515e+18,0.6662332404295542,342.5,7.999999999999931,0.0
0.0022379701053537844,1.6872683173812445e+21,4.5204162922994473e+18,4.5204162922994473e+18,0.6454456087804851,342.5,7.999999999999933,0.0
0.002245780711477841,1.687292800832442e+21,4.495932841101666e+18,4.495932841101666e+18,0.6270109332400493,342.5,7.9999999999999325,0.0
0.002253591317601897,1.6873168029453291e+21,4.471930728214205e+18,4.471930728214205e+18,0.6102512308335327,342.5,7.999999999999931,0.0
0.0022666514018510786,1.6873558988731342e+21,4.432834800409359e+18,4.432834800409359e+18,0.5848991848462096,342.5,7.9999999999999325,0.0
0.00227971148610026,1.6873937306586283e+21,4.3950030149151693e+18,4.3950030149151693e+18,0.5621043784496991,342.5,7.9999999999999325,0.0
0.0022927715703494416,1.6874303552138442e+21,4.35837845969916e+18,4.35837845969916e+18,0.5411872950097124,342.5,7.999999999999931,0.0
0.0023158233215546907,1.6874922449800373e+21,4.2964886935069696e+18,4.2964886935069696e+18,0.5080498373755071,342.5,7.999999999999936,0.0
0.00233887507275994,1.6875508903835379e+21,4.237843290007387e+18,4.237843290007387e+18,0.47849500794416594,342.5,7.99999999999994,0.0
0.002361926823965189,1.687606575817563e+21,4.1821578559835745e+18,4.1821578559835745e+18,0.45183622835867415,342.5,7.999999999999947,0.0
0.002384978575170438,1.6876595454438303e+21,4.1291882297165727e+18,4.1291882297165727e+18,0.4276916781305738,342.5,7.9999999999999485,0.0
0.002424636655143187,1.6877449111720511e+21,4.043822501497208e+18,4.043822501497208e+18,0.3911907717429804,342.5,7.999999999999955,0.0
0.002464294735115936,1.6878238072701638e+21,3.9649264033858196e+18,3.9649264033858196e+18,0.3598556531829176,342.5,7.999999999999961,0.0
0.002503952815088685,1.6878970329670314e+21,3.8917007065192366e+18,3.8917007065192366e+18,0.3326688258278746,342.5,7.999999999999965,0.0
0.0025436108950614342,1.6879652457568776e+21,3.8234879166742605e+18,3.8234879166742605e+18,0.30886944408120404,342.5,7.999999999999972,0.0
0.0026,1.688054662481402e+21,3.734071192151243e+18,3.734071192151243e+18,0.2798431673012724,342.5,7.999999999999977,0.0
